reserva_id,empleado_id,metodo_id,fecha,monto
1,1,1,2025-01-03,144.0
2,1,1,2025-01-04,216.0
3,1,1,2025-01-05,544.0
4,1,1,2025-01-03,240.0
5,1,1,2025-01-05,480.0
6,1,1,2025-01-05,272.0
7,1,1,2025-01-02,315.0
8,1,1,2025-01-04,204.0
9,1,1,2025-01-02,297.5
10,1,1,2025-01-05,272.0
11,1,1,2025-01-04,204.0
12,1,1,2025-01-06,340.0
13,1,1,2025-01-05,480.0
14,1,1,2025-01-02,120.0
15,1,1,2025-01-04,945.0
16,1,1,2025-01-04,216.0
17,1,1,2025-01-04,945.0
18,1,1,2025-01-02,120.0
19,1,2,2025-01-02,315.0
20,1,2,2025-01-05,880.0
21,1,2,2025-01-03,700.0
22,1,2,2025-01-02,136.0
23,1,2,2025-01-03,216.0
24,1,2,2025-01-06,990.0
25,1,2,2025-01-03,288.0
26,1,2,2025-01-05,480.0
27,1,2,2025-01-02,108.0
28,1,2,2025-01-05,640.0
29,1,2,2025-01-02,72.0
30,1,2,2025-01-06,360.0
31,1,2,2025-01-04,216.0
32,1,2,2025-01-05,576.0
33,1,2,2025-01-03,272.0
34,1,2,2025-01-06,1575.0
35,1,2,2025-01-06,935.0
36,1,2,2025-01-05,1400.0
37,1,2,2025-01-04,240.0
38,1,2,2025-01-04,216.0
39,1,2,2025-01-05,1190.0
40,1,2,2025-01-06,800.0
41,1,2,2025-01-02,350.0
42,1,2,2025-01-05,576.0
43,1,2,2025-01-05,1400.0
44,1,2,2025-01-05,408.0
45,1,2,2025-01-04,216.0
46,1,2,2025-01-03,160.0
47,1,2,2025-01-04,324.0
48,1,2,2025-01-03,288.0
49,1,2,2025-01-02,68.0
50,1,2,2025-01-04,324.0
51,1,2,2025-01-06,400.0
52,1,2,2025-01-03,320.0
53,1,2,2025-01-02,198.0
54,1,2,2025-01-02,160.0
55,1,2,2025-01-03,240.0
56,1,2,2025-01-05,544.0
57,1,2,2025-01-04,360.0
58,1,2,2025-01-06,800.0
59,1,2,2025-01-06,340.0
60,1,2,2025-01-04,1050.0
61,1,2,2025-01-04,306.0
62,1,2,2025-01-06,510.0
63,1,2,2025-01-05,792.0
64,1,2,2025-01-03,440.0
65,1,2,2025-01-06,720.0
66,1,2,2025-01-05,408.0
67,1,2,2025-01-03,272.0
68,1,2,2025-01-04,360.0
69,1,2,2025-01-04,432.0
70,1,1,2025-01-06,990.0
71,1,1,2025-01-06,680.0
72,1,1,2025-01-04,204.0
73,1,1,2025-01-04,360.0
74,1,1,2025-01-06,1750.0
75,1,1,2025-01-05,544.0
76,1,1,2025-01-03,204.0
77,1,1,2025-01-02,220.0
78,1,1,2025-01-02,187.0
79,1,1,2025-01-03,204.0
80,1,1,2025-01-04,480.0
81,1,1,2025-01-07,1750.0
82,1,1,2025-01-04,700.0
83,1,1,2025-01-06,1260.0
84,1,1,2025-01-05,360.0
85,1,1,2025-01-06,1400.0
86,1,1,2025-01-06,480.0
87,1,1,2025-01-06,880.0
88,1,1,2025-01-04,320.0
89,1,1,2025-01-06,320.0
90,1,1,2025-01-04,272.0
91,1,1,2025-01-07,600.0
92,1,1,2025-01-04,160.0
93,1,1,2025-01-07,935.0
94,1,1,2025-01-06,576.0
95,1,1,2025-01-05,240.0
96,1,1,2025-01-03,220.0
97,1,1,2025-01-07,1750.0
98,1,1,2025-01-04,144.0
99,1,1,2025-01-04,374.0
100,1,2,2025-01-04,272.0
101,1,2,2025-01-05,324.0
102,1,2,2025-01-04,630.0
103,1,2,2025-01-03,80.0
104,1,2,2025-01-03,68.0
105,1,2,2025-01-07,1100.0
106,1,2,2025-01-05,660.0
107,1,2,2025-01-04,396.0
108,1,2,2025-01-07,320.0
109,1,2,2025-01-05,216.0
110,1,2,2025-01-07,408.0
111,1,2,2025-01-08,990.0
112,1,2,2025-01-08,510.0
113,1,2,2025-01-06,1050.0
114,1,2,2025-01-08,800.0
115,1,2,2025-01-08,990.0
116,1,2,2025-01-07,272.0
117,1,2,2025-01-06,432.0
118,1,2,2025-01-06,660.0
119,1,2,2025-01-04,136.0
120,1,2,2025-01-04,102.0
121,1,2,2025-01-07,576.0
122,1,2,2025-01-07,288.0
123,1,2,2025-01-04,68.0
124,1,2,2025-01-04,102.0
125,1,2,2025-01-04,120.0
126,1,2,2025-01-09,360.0
127,1,2,2025-01-06,136.0
128,1,2,2025-01-07,1050.0
129,1,2,2025-01-09,360.0
130,1,2,2025-01-05,297.5
131,1,2,2025-01-08,320.0
132,1,2,2025-01-05,315.0
133,1,2,2025-01-05,160.0
134,1,2,2025-01-05,120.0
135,1,2,2025-01-08,576.0
136,1,2,2025-01-09,800.0
137,1,2,2025-01-08,272.0
138,1,2,2025-01-06,144.0
139,1,2,2025-01-05,72.0
140,1,2,2025-01-09,540.0
141,1,2,2025-01-09,935.0
142,1,3,2025-01-05,144.0
143,1,3,2025-01-09,540.0
144,1,3,2025-01-08,640.0
145,1,3,2025-01-08,1260.0
146,1,3,2025-01-06,595.0
147,1,3,2025-01-08,1190.0
148,1,3,2025-01-07,306.0
149,1,3,2025-01-09,360.0
150,1,3,2025-01-06,288.0
151,1,3,2025-01-05,72.0
152,1,3,2025-01-09,510.0
153,1,3,2025-01-08,432.0
154,1,3,2025-01-07,660.0
155,1,3,2025-01-08,408.0
156,1,3,2025-01-05,136.0
157,1,3,2025-01-07,306.0
158,1,3,2025-01-07,204.0
159,1,3,2025-01-08,324.0
160,1,3,2025-01-06,68.0
161,1,3,2025-01-09,408.0
162,1,3,2025-01-07,595.0
163,1,3,2025-01-10,1750.0
164,1,3,2025-01-07,240.0
165,1,3,2025-01-08,660.0
166,1,3,2025-01-09,544.0
167,1,3,2025-01-07,204.0
168,1,3,2025-01-09,432.0
169,1,3,2025-01-08,480.0
170,1,3,2025-01-06,72.0
171,1,3,2025-01-07,144.0
172,1,3,2025-01-06,350.0
173,1,3,2025-01-06,68.0
174,1,3,2025-01-08,408.0
175,1,3,2025-01-07,595.0
176,1,3,2025-01-06,72.0
177,1,3,2025-01-10,340.0
178,1,3,2025-01-09,408.0
179,1,3,2025-01-08,432.0
180,1,3,2025-01-10,800.0
181,1,3,2025-01-08,480.0
182,1,3,2025-01-08,306.0
183,1,3,2025-01-06,108.0
184,1,3,2025-01-07,396.0
